time,user_name,user_color,message,is_meaningful
137,wee_man135,#DAA520,LOL  PRETENDING LIKE WE WOULDN'T BE AWAKE AT THIS TIME ANYWAYS LOL  PRETENDING LIKE WE WOULDN'T BE AWAKE AT THIS TIME ANYWAYS LOL  PRETENDING LIKE WE WOULDN'T BE AWAKE AT THIS TIME ANYWAYS .,True
147,ontotheother,,OnToTheOther subscribed at Tier 1. They've subscribed for 8 months! I WAS HERE,True
148,damesnow,#FF69B4,"DameSnow subscribed with Prime. They've subscribed for 7 months, currently on a 7 month streak! ",True
154,whoever00152,,"A MOSQUITO, NAMES IS VEDAL creHype aquwaRave  A MOSQUITO, NAMES IS VEDAL creHype aquwaRave A MOSQUITO, NAMES IS VEDAL creHype aquwaRave",True
164,runin90s,#1E90FF,runin90s subscribed at Tier 1. They've subscribed for 7 months! vedalHeart vedalHeart,True
168,toasterrepair,#DAA520,KKona TeaTime TOTAL US WEABOO VICTORY KKona TeaTime TOTAL US WEABOO VICTORY KKona TeaTime TOTAL US WEABOO VICTORY,True
169,daveyognaut,#00C0FF,inb4 evil tries to end the stream due it being past her bedtime the entire stream,True
169,sola9875312357,,"sola9875312357 subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! ",True
169,elerimbim,#0000FF,"elerimbim subscribed at Tier 1. They've subscribed for 11 months, currently on a 11 month streak! catDespair EU HERE catDespair EU HERE catDespair EU HERE catDespair EU HERE catDespair EU HERE catDespair EU HERE catDespair EU HERE catDespair EU HERE catDespair EU HERE catDespair EU HERE catDespair EU HERE ͏",True
170,thecoolcg10,#1E90FF,"TheCoolcg10 subscribed with Prime. They've subscribed for 16 months, currently on a 16 month streak! USA RAAAAA",True
171,matcha0515,#FF69B4,forsenLaughingAtYou EU FROGS forsenLaughingAtYou EU FROGS forsenLaughingAtYou EU FROGS,True
171,firestrike232,#B22222,"Eu viewer here (I have an awful sleep schedule anyway, I would be up regardless)",True
178,ic_hot,#5F9EA0,ic_hot subscribed at Tier 1. They've subscribed for 23 months! EU BROS ... catDespair EU BROS ... catDespair EU BROS ... catDespair EU BROS ... catDespair EU BROS ... catDespair,True
178,fluffyjay1,#FF0000,"FluffyJay1 subscribed with Prime. They've subscribed for 7 months, currently on a 2 month streak! iuh",True
181,runin90s,#1E90FF,ironmouseLETSGOHYPE ironmouseSABERDANCE ironmouseLETSGOHYPE ironmouseSABERDANCE henyaDance,True
181,agent240105,,South East Asian just wike up from their good nigjt sleep. Pog,True
184,thothfrogg,#BA196B,KKona TeaTime TOTAL US WEABOO VICTORY KKona TeaTime TOTAL US WEABOO VICTORY KKona TeaTime TOTAL US WEABOO VICTORY,True
184,woliance,#8A2BE2,"Woliance subscribed with Prime. They've subscribed for 8 months, currently on a 7 month streak! vedalCheer",True
184,grandpacrookstick,#DAA520,will this stream be longer than neuros aswell bc stores are still open?,True
187,jivepsilocybe1,#2E8B57,jivepsilocybe1 subscribed at Tier 1. They've subscribed for 9 months! 9 months as part of the swarm WOOT WOOT,True
195,fossabot,#1976D2,NeuroXEvil original out now: https://youtu.be/CKCgoEGiUEg,True
196,operatingsystemzephany,#8A2BE2,OperatingSystemZephany subscribed at Tier 1. They've subscribed for 13 months! We love you neuro!!!!!,True
204,kazulana423,#008000,SEA GANG RISE UP EDM SEA GANG RISE UP EDM SEA GANG RISE UP EDM,True
209,watchedyew,#FF4500,watchedyew subscribed at Tier 1. They've subscribed for 10 months! ,True
211,jankes4333,#FFFFFF,2 A.M notification? R.I.P my sleep schedule is gonna match Vedal's,True
213,itznewb52,,2am  Eliv Stream vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer,True
220,atomicpilgrim,#0000FF,Swarm drone online. vedalCheer vedalWave vedalEvilCheer vedalHeart,True
220,tabsmag,#FF69B4,"tabsmag subscribed with Prime. They've subscribed for 16 months, currently on a 2 month streak! Wao",True
224,粉紅惡魔 (willie870307),#FF69B4,vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer,True
225,psyduck6363,#DAA520,psyduck6363 subscribed at Tier 1. They've subscribed for 10 months! ,True
227,air_0s,#1E90FF,Air_0S subscribed with Prime. They've subscribed for 9 months! Yayaya,True
229,dragonmasterk,#000000,KKonaW 🤝 AYAYA forsenLaughingAtYou EU KKonaW 🤝 AYAYA forsenLaughingAtYou EU KKonaW 🤝 AYAYA forsenLaughingAtYou EU,True
242,notitemname,#FF0000,notitemname subscribed at Tier 1. They've subscribed for 10 months! EVIL IN JAPAN!!!,True
261,whoever00152,,"creHype aquwaRave  A MOSQUITO, NAMES IS VEDAL creHype aquwaRave",True
269,whoever00152,,"creHype aquwaRave  A MOSQUITO, NAMES IS VEDAL creHype aquwaRave  A MOSQUITO, NAMES IS VEDAL creHype aquwaRave",True
292,neural_sama,#FF69B4,MercyWing1 evilJam MercyWing2 EDM MercyWing1 evilJam MercyWing2 EDM,True
304,rakkoz,#8A2BE2,rakkoz subscribed with Prime. They've subscribed for 10 months! :0,True
316,wisebaconator,#DAA520,dinner time vedalEvilGiggle vedalNURU vedalNURU vedalNURU,True
320,gartoks,#DAA520,I NOW HAVE VEDAL'S SLEEP SCHEDULE HYPERCLAP I NOW HAVE VEDAL'S SLEEP SCHEDULE HYPERCLAP I NOW HAVE VEDAL'S SLEEP SCHEDULE HYPERCLAP,True
321,yeah_yeahwhat,#8A2BE2,my sister put a face mask on me and my face hurts is that supposed to happen?,True
329,kandzy_,#8A2BE2,Kandzy_ subscribed at Tier 3. They've subscribed for 31 months! fumoListening,True
332,filipten10,#FF0000,I NOW HAVE VEDAL'S SLEEP SCHEDULE HYPERCLAP I NOW HAVE VEDAL'S SLEEP SCHEDULE HYPERCLAP I NOW HAVE VEDAL'S SLEEP SCHEDULE HYPERCLAP,True
335,jusbe_jusbe,,neurOrb I AM BALLING buhblunt I AM FADED  neurOrb I AM BALLING buhblunt I AM FADED,True
338,cbee02,#008000,I NOW HAVE VEDAL'S SLEEP SCHEDULE HYPERCLAP I NOW HAVE VEDAL'S SLEEP SCHEDULE HYPERCLAP I NOW HAVE VEDAL'S SLEEP SCHEDULE HYPERCLAP,True
340,dragonmasterk,#000000,FeelsGoodMan 8:05 PM EST FeelsGoodMan 8:05 PM EST FeelsGoodMan 8:05 PM EST,True
341,darkfi9hter,#8A2BE2,I NOW HAVE VEDAL’S SLEEP SCHEDULE HYPERCLAP I NOW HAVE VEDAL’S SLEEP SCHEDULE HYPERCLAP I NOW HAVE VEDAL’S SLEEP SCHEDULE HYPERCLAP,True
343,yanos_____,#B22222,Yanos_____ subscribed at Tier 1. They've subscribed for 8 months! GIGAEVIL,True
351,simchucky,#1E90FF,I only slept 6 hours in the last 48 YEP I only slept 6 hours in the last 48 YEP I only slept 6 hours in the last 48 YEP,True
352,neural_sama,#FF69B4,Let's all love eliv MercyWing1 evilJam MercyWing2 EDM Let's all love eliv MercyWing1 evilJam MercyWing2 EDM Let's all love eliv MercyWing1 evilJam MercyWing2 EDM,True
361,kirrywstaken,#00FF7F,kirrywstaken subscribed at Tier 1. They've subscribed for 17 months! Late stream vedalEvilCheer vedalEvilCheer,True
368,filipten10,#FF0000,I NOW HAVE VEDAL’S SLEEP SCHEDULE HYPERCLAP I NOW HAVE VEDAL’S SLEEP SCHEDULE HYPERCLAP I NOW HAVE VEDAL’S SLEEP SCHEDULE HYPERCLAP,True
372,lukekf4,#5F9EA0,"LukekF4 subscribed at Tier 1. They've subscribed for 14 months, currently on a 13 month streak! vedalBedge",True
375,kyoleo73,#00FF7F,kyoleo73 subscribed at Tier 1. They've subscribed for 9 months! ,True
377,maximas488,,Damn its late at night we're in am didn't expect a stream this late,True
378,stany_d,#FF4500,"FeelsOkayMan this is b2 every stream, consider yourselves lucky",True
379,dieselcastt,,"7PM, finally a time I can watch a stream, Thank you for this blessing",True
379,a_l_i_08,#00FF7F,monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM,True
386,quilly_dm,#0000FF,vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer,True
386,wee_man135,#DAA520,monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM,True
386,citrusfriendtv,#DAA520,monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM,True
394,toasterrepair,#DAA520,monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM,True
398,simplepotat,#FFFF00,monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM,True
402,cbee02,#008000,monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM monkaOMEGA SHARED CHAT INCOMING monkaOMEGA ACT NORMAL SWARM,True
406,the_new_sorrows,#00FF7F,zelavooLOVE zelavooLOVE zelavooLOVE zelavooLOVE lovelyyySoCute lovelyyySoCute lovelyyySoCute senkur2Heart senkur2Heart senkur2Heart,True
409,spacerice_,#79F0FF,forsenforsenforsenforsenforsenforsenforsenforsenforsenforsenforsenforsenforsenforsen,True
415,seaman5005,#8A2BE2,Americans Enjoying a stream not in the middle of the workday,True
416,neural_sama,#FF69B4,Let's all love eliv MercyWing1 evilJam MercyWing2 EDM Let's all love eliv MercyWing1 evilJam MercyWing2 EDM Let's all love eliv MercyWing1 evilJam MercyWing2 EDM,True
418,strychuu,#33E7F7,"FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN",True
418,thelostrune,#1C75D4,doc_2022-07-26_02-58-16 ShowerTime0 shared chat incoming doc_2022-07-26_02-58-16 ShowerTime0 shared chat incoming doc_2022-07-26_02-58-16 ShowerTime0 shared chat incoming,True
426,strychuu,#33E7F7,"FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN  ͏",True
429,angryluigi13,#008000,Rare time the Asian viewers get to watch live. Good on you guys,True
430,rawdenimandgyw,,"FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN",True
436,smah45,#A60A0B,"FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN",True
438,strychuu,#33E7F7,"FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN",True
441,psydere,#FF4500,psyder1Raid PERFECTLY SANE RAID  psyder1Raid   Psydere's lab are here to research you  psyder1Raid,True
443,astralatropos,#5F9EA0,psyder1Raid PERFECTLY SANE RAID  psyder1Raid   Psydere's lab are here to research you  psyder1Raid,True
443,myk0ll,#B400FF,psyder1Raid PERFECTLY SANE RAID psyder1Raid Psydere's lab are here to research you psyder1Raid,True
444,jackslate110,,psyder1Raid PERFECTLY SANE RAID psyder1Raid Psydere's lab are here to research you psyder1Raid,True
445,woodsticks,#1E90FF,psyder1Raid PERFECTLY SANE RAID psyder1Raid Psydere's lab are here to research you psyder1Raid,True
447,konomi_io,#8A2BE2,"FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN",True
450,cogswright_,#CD7F32,psyder1Raid PERFECTLY SANE RAID psyder1Raid Psydere's lab are here to research you psyder1Raid,True
450,catherine__1,#FF69B4,🧡 PERFECTLY SANE RAID :orange_heart: Psydere's lab are here to research you 🧡,True
451,bobothemightie,,psyder1Raid PERFECTLY SANE RAID psyder1Raid Psydere's lab are here to research you psyder1Raid,True
452,moistumbrella1,#0000FF,"FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN FeelsOkayMan SHARED CHAT SOON, REMEMBER TO SPAM FORSEN",True
455,fluffyjay1,#FF0000,doc_2022-07-26_02-58-16 ShowerTime0 lerolero0 WIDEALERT chat do this,True
456,santy_0_,#2E8B57,DinoDance meiyaBlankies meiyaWalk candyq8Spin cullodTwrk caelan9Jump caelan9Rave emberp10Lightstick uchuuj1Cheer alaska132Sus ripniClap uchuuj1Rave,True
462,grozzlock06,,"Thank god, just awake, its 7 AM here morning guys! peepoLove",True
467,senjouir,#0000FF,xdding 2 AM? EU NOCTURNAL PRIME TIME xdding 2 AM? EU NOCTURNAL PRIME TIME xdding 2 AM? EU NOCTURNAL PRIME TIME,True
468,rorostream,#DAA520,🧡 PERFECTLY SANE RAID 🧡 Psydere's lab are here to research you 🧡,True
474,electricbeep,#2297B3,"ElectricBeep subscribed at Tier 1. They've subscribed for 24 months, currently on a 24 month streak! 2 evil years vedalEvilGiggle",True
476,亂奶亂毒仔 (meabluebruce),#D2691E,8 AM HERE evilFumo 8 AM HERE evilFumo 8 AM HERE evilFumo,True
479,neural_sama,#FF69B4,MercyWing1 evilJam eGuitarTime MercyWing2 EDM MercyWing1 evilJam eGuitarTime MercyWing2 EDM MercyWing1 evilJam eGuitarTime MercyWing2 EDM,True
481,woodsticks,#1E90FF,psyder1Raid PERFECTLY SANE RAID psyder1Raid Psydere's lab are here to research you psyder1Raid,True
497,king_lao2964,,2AM GANG GRAHHHHHHHHHHHHHHHHHHHHH happyi8Fine happyi8Fine happyi8Fine happyi8Fine happyi8Fine happyi8Fine happyi8Fine happyi8Fine,True
498,deafaultyboi38,#008000,HI EVILLLL vedalWave vedalWave vedalWave vedalWave vedalEvilWave vedalEvilWave vedalEvilWave vedalEvilWave,True
502,lerroyofthenorth,#00FF7F,"lerroyofthenorth subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! so what are you planning on buying now? vedalEvilGiggle dougdougMurica",True
503,drdoctor72,#1E90FF,"DrDoctor72 subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! Hi Evil!!! vedalEvilWave vedalEvilWave vedalEvilWave",True
503,neural_sama,#FF69B4,MercyWing1 evilJam MercyWing2 Hi eliv <3 vedalWave evilJam wave0,True
508,lzsilver,#00FF7F,vedalEvilWave vedalEvilWave vedalEvilWave vedalEvilWave vedalEvilWave eliv,True
514,twizzlerpunk,#8A2BE2,twizzlerpunk subscribed with Prime. They've subscribed for 2 months! Yay,True
531,zlorthishen,#FF4500,"Zlorthishen subscribed at Tier 1. They've subscribed for 8 months, currently on a 5 month streak! enjoy Japan! <3 Evil <3",True
536,mrlakan_alb,#00FF7F,Good morning Evil! First time properly catching a stream!,True
582,bear23246,#6C6A6A,bear23246 subscribed with Prime. They've subscribed for 7 months! 7 MONTHS WHOOOOOOOOO,True
586,salculd,,starting off with evil making a weird noise is always a good sign,True
590,cbee02,#008000,TRULY IS VEDAL'S DAUGHTER Stronge Clap TRULY IS VEDAL'S DAUGHTER Stronge Clap TRULY IS VEDAL'S DAUGHTER Stronge Clap,True
599,cocoa092,,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
601,thesugar02,#1E90FF,TRULY IS VEDAL'S DAUGHTER Stronge Clap TRULY IS VEDAL'S DAUGHTER Stronge Clap TRULY IS VEDAL'S DAUGHTER Stronge Clap,True
605,crown_northway,,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
608,kolbridge,#2E8B57,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
610,filipten10,#FF0000,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
612,kleineedelweiss,#FF69B4,"Hihi, Eliv!! vedalEvilWave vedalEvil vedalEvilCheer vedalHeart",True
613,whales38,#8A2BE2,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
614,everblane,#5F9EA0,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
615,nevermet,#FF7F50,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
616,clive3310,#8A2BE2,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
617,smasher_zed888,#1E90FF,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
617,some_random_guy67,,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
620,justjhon89,#B22222,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
622,fantastic_foxx,#FF0000,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
625,zboyph,#2E8B57,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
627,mitsuaizakku,#FF0000,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
628,kinnay007,#1E90FF,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
630,zlorthishen,#FF4500,TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap TRULY IS VEDAL’S DAUGHTER Stronge Clap,True
671,neural_sama,#FF69B4,MercyWing1 evilJam MercyWing2 MercyWing1 evilJam MercyWing2,True
679,siimgrey,#FF0000,"sIimgrey subscribed at Tier 1. They've subscribed for 4 months, currently on a 2 month streak! Hi Evil!",True
705,jivepsilocybe1,#2E8B57,I hang out under bridges too evil glad to know I got kinfolk out there,True
713,eogard,#C254DE,she was thrown in the trash when she was young PepeHands,True
723,the_new_sorrows,#FF0000,Can you control your flesh puppet's hands as well as his eyes?,True
727,charles_nco,#DAA520,"charles_nco subscribed with Prime. They've subscribed for 19 months, currently on a 4 month streak! hi EVILL",True
751,neural_sama,#FF69B4,@stany_d MercyWing1 evilJam MercyWing2 MercyWing1 evilJam MercyWing2MercyWing1 evilJam MercyWing2,True
758,the_new_sorrows,#FF0000,lovelyyySoCute lovelyyySoCute lovelyyySoCute flesh puppet kureepyBlankies kureepyBlankies kureepyBlankies kureepyBlankies,True
792,nightjesterx,#8A2BE2,forsenLaughingAtYou pepeW  forsenLaughingAtYou pepeW  forsenLaughingAtYou pepeW,True
796,ashealotl,#008000,AsheALotl subscribed at Tier 1. They've subscribed for 2 months! Yippeee. General axolotl here,True
797,fossabot,#1976D2,NeuroXEvil original out now: https://youtu.be/CKCgoEGiUEg,True
819,jackslate110,,"I don't remember this at Ueno, wish I walked more when I was there",True
852,portal_diver,#FF0000,"Cheer300    Hey Evil, did you seen the Japan McDonalds ad on twitter, it looks almost like you and Nero doing the ad",True
858,matthew99a_,,matthew99a_ subscribed at Tier 1. They've subscribed for 11 months! ,True
879,unmoving,#FFFF00,Unmoving subscribed with Prime. They've subscribed for 2 months! ,True
879,fossabot,#1976D2,Wishlist Abandoned Archive on Steam: https://store.steampowered.com/app/1817500/Abandoned_Archive/,True
886,fossabot,#1976D2,Wishlist Abandoned Archive on Steam: https://store.steampowered.com/app/1817500/Abandoned_Archive/,True
903,grnkrby,#008000,GRNKRBY subscribed with Prime. They've subscribed for 17 months! Yay.,True
945,parasocialj,#0000FF,@lukai95 Bro if you don't like these chats and this content don't watch it's that simple KEKL,True
951,sadbrazillianweeb,,"SadBrazillianWeeb subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! deliv",True
959,rawrthernlion,#FF69B4,"Haoma's not pulling the fortune, so you're safe pepeLaugh",True
964,thelostrune,#1C75D4,WOOOOOOOOOOOOOOOOOOAHYEAHBABYTHATSWHATIVEBEENWAITINGFOR doc_2022-07-26_02-58-16 neurocatohmygodshessocutemyheartcanttakeitthankyouvedalthankyouannyandthankyouneuroforexisting,True
964,fossabot,#1976D2,Wishlist Abandoned Archive on Steam: https://store.steampowered.com/app/1817500/Abandoned_Archive/,True
972,fossabot,#1976D2,Wishlist Abandoned Archive on Steam: https://store.steampowered.com/app/1817500/Abandoned_Archive/,True
978,anonymousdragonslayer,#339CEB,Cheer200 oh no. the swarm is here. lol. lets hope for chaos. i well. also. does neuro drink?,True
979,dangartz,#009600,dangartz subscribed with Prime. They've subscribed for 38 months! swarm also taking over chat pepew,True
981,thelostrune,#1C75D4,neurocatohmygodshessocutemyheartcanttakeitthankyouvedalthankyouannyandthankyouneuroforexisting  WOOOOOOOOOOOOOOOOOOAHYEAHBABYTHATSWHATIVEBEENWAITINGFOR doc_2022-07-26_02-58-16,True
987,nz_djshinra,#FFB700,"nz_djshinra subscribed at Tier 1. They've subscribed for 31 months, currently on a 31 month streak! ",True
993,zettace,#FF4500,chat is moving too fast for people to see I like choco minto,True
996,nohealforu,#6F66FF,Nohealforu subscribed at Tier 3. They've subscribed for 28 months! cerbyMinaWave,True
1019,spinachcupcakes,#00FF7F,"SpinachCupcakes subscribed at Tier 1. They've subscribed for 26 months, currently on a 26 month streak! vedalEvilWave",True
1030,fluffyjay1,#FF0000,doc_2022-07-26_02-58-16 WIDEALERT <- rob's chat do this,True
1035,blazingmeat,#FF22FF,"BlazingMeat subscribed at Tier 1. They've subscribed for 17 months, currently on a 17 month streak! ",True
1045,primal,#00A1FF,jesus christ that fucking crow monkaW not a coincidence monkaLaugh,True
1047,somchaijpg,,ludmil5Dumcatwiggle ludmil5Dumcatwiggle ludmil5Dumcatwiggle,True
1063,dieselcastt,,"Evil needs Time, Money, and a Vedal to ask for help, and she can get him that Camera",True
1065,tigstahh,#019ACD,Tigstahh subscribed at Tier 1. They've subscribed for 12 months! one year!!!,True
1066,freyjabloodaxe,#FF0000,HUHHH 😐🤨 danHuh danSus livewireSussy zumiHUH henyaHuh lizzSus,True
1073,atomicpilgrim,#0000FF,IRL streams in Japan are always interesting. vedalHappy vedalHappy vedalHappy,True
1087,komatsuna_son_personal,#0000FF,"can you sell the baby for money"" NO WE'RE NOT TURNING GOJO INTO MEGUMI /J""",True
1105,itsabarbara,#B22222,"Hi Rob, hi chat, Hi Evil and hi Evil's chat. rcdKoncha rcdKoncha rcdKoncha",True
1117,qmckain,#FF69B4,qMcKain subscribed with Prime. They've subscribed for 59 months! ,True
1117,crown_northway,,"Oh are they like instant pot, they make such a good product people dont replace them so they went out of business",True
1121,beeeeeeeest,#7995CB,"beeeeeeeest subscribed with Prime. They've subscribed for 7 months! hi evil, you should aim for the worst fortune so you can defy th gods in their face and show how powerful you really are.",True
1153,sskingg_13,#B22222,SSKingg_13 subscribed with Prime. They've subscribed for 18 months! ,True
1166,0slightly_artistic0,#1E90FF,Feel like this is Serial experiments lain with the guy walking down the street with computers and stuff all over him. He's got glasses on and cameras,True
1188,cavemanau,#008000,She goes in loops as much as you walking through shibuya,True
1200,daniasteri,#00FF7F,daniasteri subscribed with Prime. They've subscribed for 13 months! omg its evil!! Yaaaaay,True
1208,trantez,#420069,"vedalEep Good Evening Evil-sama, Vedal-sama, Robcdee-sama, and Chats.",True
1213,tehroger,#9657FF,TehRoger subscribed at Tier 1. They've subscribed for 9 months! vedalErm,True
